,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
342,4,9:34.0,A. Horford makes 2-pt hook shot from 4 ft (assist by S. Mack),,82,62
343,4,9:15.0,,M. Carter-Williams misses 3-pt jump shot from 26 ft,82,62
344,4,9:12.0,,Offensive rebound by R. Covington,82,62
345,4,9:05.0,,R. Covington misses 3-pt jump shot from 26 ft,82,62
346,4,9:03.0,Defensive rebound by A. Horford,,82,62
347,4,8:44.0,M. Muscala makes 2-pt jump shot from 14 ft (assist by S. Mack),,84,62
348,4,8:32.0,,Turnover by M. Carter-Williams (lost ball; steal by S. Mack),84,62
349,4,8:28.0,K. Bazemore makes 2-pt layup from 1 ft,,86,62
350,4,8:28.0,,Philadelphia full timeout,86,62
351,4,8:28.0,T. Sefolosha enters the game for A. Horford,,86,62
352,4,8:28.0,,J. Sampson enters the game for R. Covington,86,62
353,4,8:28.0,E. Brand enters the game for K. Korver,,86,62
354,4,8:15.0,,Shooting foul by E. Brand (drawn by M. Carter-Williams),86,62
355,4,8:15.0,,M. Carter-Williams makes free throw 1 of 2,86,63
356,4,8:15.0,,M. Carter-Williams makes free throw 2 of 2,86,64
357,4,7:59.0,K. Bazemore misses 2-pt jump shot from 16 ft,,86,64
358,4,7:57.0,,Defensive rebound by M. Carter-Williams,86,64
359,4,7:49.0,,K. McDaniels makes 2-pt jump shot from 11 ft (assist by M. Carter-Williams),86,66
360,4,7:30.0,E. Brand misses 2-pt jump shot from 13 ft,,86,66
361,4,7:28.0,Offensive rebound by M. Muscala,,86,66
362,4,7:28.0,M. Muscala misses 2-pt jump shot from 3 ft,,86,66
363,4,7:27.0,Offensive rebound by M. Muscala,,86,66
364,4,7:26.0,M. Muscala misses 2-pt jump shot from 4 ft,,86,66
